Score,Word
275.78482027136545,lares
278.3708382625579,rales
287.7177563341862,tares
289.99602121757385,arles
295.3370189048561,soare
296.1985628559986,rates
298.8162104113337,nares
300.99118793160324,reais
303.64087097388716,tales
304.2653103072485,aloes
304.8244607978286,aeros
305.97516135368176,saner
309.29555596193694,salet
311.72419229390385,reals
315.8658059710826,lears
317.52974741801546,lanes
318.20525414801403,serai
322.3212793120235,lores
324.0999483481339,laers
325.57525624988983,roles
326.50216562383747,seral
328.1959693550998,teras
330.0090638275496,sorel
330.2823141294549,tears
332.8518909010534,earls
335.3887893975915,reans
335.66314150864997,cares
336.8353160799267,orles
337.02806701397043,soler
337.52906288354234,tores
338.20093025323314,nates
340.0424686607771,aures
340.58990258601494,dares
341.34924715016496,strae
341.8278349790056,nears
342.4187825774433,saine
342.8785715409515,aeons
343.15545121946104,laser
343.16605831955326,stoae
343.8148592833252,raise
344.04132115058263,riles
344.8327971063364,teals
345.2220982748295,sared
345.3721566462516,races
346.4605945119099,toeas
347.5836012960164,rotes
347.9587470401009,stare
348.7914249602254,taser
349.6345956403171,pares
350.24982865131,leats
354.1919137365386,hares
354.2845606104147,snare
354.5544902951353,rones
354.88373936829544,mares
354.9787926585447,slate
355.50312356109583,toles
355.9691612604998,siler
356.58461194902804,dales
356.9471285866713,slier
357.19427298301184,taels
357.36942380639016,earns
358.2703774328856,leans
358.76057285369166,tires
359.4392911177138,dates
359.60064782385496,rapes
360.59824257759925,solei
361.1702860146626,arets
361.7782220659884,tries
362.41297335152194,neals
363.22330819482664,lades
363.83909490150796,sated
364.4726281815176,lotes
366.1080063548598,sayer
368.916392981792,stale
369.345297887552,taces
369.4409523252524,antes
369.79565077892767,gares
369.8673907141265,acres
370.0635241919768,leirs
370.6724935780384,dears
370.84235656224416,laces
371.055788987109,cates
372.50469326943676,slane
373.19565574669537,setal
373.87236454266167,rites
374.61116011183066,arose
375.1603026659838,aides
376.30558465825766,reads
376.3404342188213,stear
377.0786493827471,saice
377.1490769300157,roues
377.20204933956165,bares
377.66314780746404,aesir
378.3804606955625,rages
379.4124089792707,rails
379.54751812682866,pales
379.94133706499224,laris
380.0496270969506,claes
380.74151181759703,taros
380.84014018024544,noles
380.98347799375557,neats
381.1082834282671,kaies
381.34662280330116,lairs
381.41284407936257,canes
382.87265748119756,siren
383.4771387988099,hales
383.60419948115566,males
384.35522024065926,apres
384.8065785358127,saute
385.0115839230918,deals
386.33028045394997,rines
386.4746089827114,arise
386.802995609085,tiles
387.0414089514207,sager
387.0625454982003,tapes
388.13302614781355,ayres
388.67321218260616,pates
388.8627790537802,lames
388.9222282735573,tones
389.1147876038186,tames
389.8250948122372,salue
389.9940173899382,reast
390.0197984826833,rakes
390.0233316866366,teads
390.0523487298547,spaer
390.33350491371317,ratos
391.14925072206046,yales
391.211878128825,saned
392.34027515695533,saber
392.5225170433456,stane
392.58217618057444,leads
392.7253928643768,riels
392.95292154503375,serac
393.6243388671862,panes
393.7231561622274,orals
393.7493921015665,mates
394.2158489098326,rials
394.23680658432266,renos
394.29806483004984,braes
394.8350356686533,eards
394.85120633828546,eorls
394.91903012630445,salep
395.8070585762337,toras
396.0895706973354,aunes
396.23506541011983,raits
396.3285346051387,resat
396.4995191603383,store
396.55665062378523,senor
397.3118755927411,liers
397.5987165566604,lites
398.12711118363796,seron
398.5770751677351,cores
398.89583316860353,amies
399.4605431868841,liars
399.6655619454798,pears
399.69986902471084,samel
399.85550389966596,saker
400.09453161176856,telos
400.1985657840786,loser
400.31704102874255,liras
400.6883025069165,manes
400.8212348096258,ureas
401.0047478438512,gales
401.09583263792683,satem
401.236491419956,solar
401.65349156289267,yates
401.702322951277,roans
401.70380340312715,fares
401.9553807550049,scrae
402.74883024525934,reaps
402.80082036127266,notes
403.47717116018066,gates
404.4672416288439,soral
405.2617351312887,reams
405.31647798145457,lures
405.58171263717463,wares
406.54344198538115,roset
407.0865269676004,rotas
407.3111319477652,napes
408.1596412252878,taler
408.5507160976694,sarge
408.55456551246857,arils
408.8351948247477,hears
408.87181652265883,tabes
408.9051825923582,roate
408.91186157657415,larns
409.3763219272856,least
409.4109890721118,dores
409.5913200550956,bales
410.1114196764028,snore
410.21406241699447,scare
410.798939616212,slade
410.8525272203533,cires
411.1225648681097,deans
411.32807122547507,rules
411.5227603956999,years
412.0238308946968,hates
412.27477741910167,aisle
412.42210940976474,names
412.51255243606937,bates
412.8197764912358,raile
414.4438828844876,cries
414.51683218517803,pores
414.5183498247149,abies
415.1058464026334,sored
415.40713660092854,tiars
415.5599025310471,lines
415.75976911644625,reins
416.7868339641666,rains
416.8482010322686,stire
416.9284277103192,sabre
416.94538460637295,kales
417.0816221718541,teils
417.1002164153918,terns
417.13476401717116,serin
417.67417939901185,samen
417.71022122532304,takes
417.81301663667335,oater
417.84978138540754,stade
417.95385956200425,elans
417.99406692828444,aster
